#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	sample_0	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	14.01823	14.006292357125997	14.58145	14.22261	14.20865	14.43529	13.73124	14.25534	14.62727	13.99836
k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae	7.93015	7.0575772546019016	7.99536	7.53029	7.52907	7.79744	7.90163	7.671	7.47631	7.83014
k__Bacteria|p__Firmicutes|c__CFGB10312|o__OFGB10312|f__FGB10312	7.7928	7.841277351923289	8.36474	8.78839	8.46479	7.80648	8.10156	8.2837	8.23095	8.83473
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	6.37994	5.794561495221703	5.69742	5.77318	6.23571	6.39378	6.05415	5.83486	6.13518	4.82621
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	5.46501	5.595787992607168	5.54756	5.68569	5.19752	5.47153	5.57224	5.30139	5.46576	5.80853
k__Bacteria|p__Firmicutes|c__CFGB72899|o__OFGB72899|f__FGB72899	5.16431	4.77423510931218	5.46154	5.45742	4.90229	5.35576	5.11658	4.8773	5.05548	4.94852
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	4.42266	4.168502662939158	3.978	4.03206	4.07959	4.40093	4.46411	4.52178	4.15819	4.28036
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2.84204	2.8385879379950905	2.80979	3.05274	3.01962	3.01142	2.97343	3.22443	3.14276	2.66751
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2.48234	2.2288622521422634	2.5979	2.26523	2.70001	1.75121	2.70337	2.504	2.37355	2.84596
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2.47537	2.045817621904172	2.67834	2.09298	1.9275	2.31552	2.69914	2.17971	2.22956	2.54945
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2.47439	2.2566782405969423	2.19516	2.86785	2.7953	2.7299	2.49278	2.51712	2.4334	2.56151
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2.26042	2.319730418006671	2.60478	2.47094	2.40362	2.31253	2.19125	2.36606	2.63651	2.7513
k__Bacteria|p__Bacteroidetes|c__CFGB653|o__OFGB653|f__FGB653	1.91856	1.789264189603856	1.71684	1.63187	2.05831	1.93183	1.84821	1.96805	1.77961	1.50053
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Corynebacteriaceae	1.25688	1.293565505913962	1.44447	1.40613	1.38242	1.09128	0.9039	1.34521	1.50653	1.2879
k__Bacteria|p__Firmicutes|c__CFGB76360|o__OFGB76360|f__FGB76360	1.2124	1.5524328691597882	1.23119	1.2237	1.14317	1.10706	1.05719	1.24102	1.33548	1.1616
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	1.0726	0.6703662980999354	0.8499	0.79568	0.94426	0.73346	0.97756	0.85786	1.03696	0.97918
k__Bacteria|p__Bacteria_unclassified|c__CFGB76763|o__OFGB76763|f__FGB76763	1.02756	1.4983044591939263	0.88415	1.72912	1.63552	1.6084	1.54589	1.24103	1.2612	1.35643
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	0.93891	1.1092613942751497	0.88888	0.56625	0.72144	0.66163	0.21861	0.97986	0.90421	0.93446
k__Bacteria|p__Firmicutes|c__CFGB2844|o__OFGB2844|f__FGB2844	0.9364	1.287219281801803	1.15947	0.89952	1.23151	1.2141	0.88994	1.04779	1.15205	1.23182
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	0.93548	1.1867146187086242	0.86612	1.04285	1.04962	0.87413	0.8483	0.92027	0.9745	0.9819
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae	0.87327	0.8656933128504823	1.16259	1.04958	1.06805	1.51201	1.05505	1.07883	1.01888	1.26919
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932|f__FGB2932	0.52567	0.1415110342794376	0.24646	0.19028	0.31834	0.49306	0.59943	0.28918	0.31919	0.3436
k__Bacteria|p__Bacteroidetes|c__CFGB11479|o__OFGB11479|f__FGB11479	0.48534	0.3947937203065639	0.50609	0.41197	0.49391	0.30869	0.53249	0.43279	0.47143	0.52792
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477	0.35144	0.4641042510330526	0.34318	0.38937	0.33865	0.33534	0.45913	0.42161	0.38155	0.33829
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB73217|o__OFGB73217|f__FGB73217	0.32778	0.1425850106676491	0.11373	0.25851	0.19579	0.22924	0.33503	0.14865	0.28737	0.20907
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	0.32733	0.1025745084959135	0.13798	0.1945	0.24845	0.20337	0.20365	0.27379	0.08107	0.2249
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.31861	0.6933591562293735	0.66552	0.35817	0.41385	0.54045	0.46982	0.55627	0.44604	0.415
k__Bacteria|p__Firmicutes|c__CFGB76101|o__OFGB76101|f__FGB76101	0.28608	0.2462627858169072	0.31397	0.27303	0.17567	0.25	0.30877	0.37495	0.23479	0.24404
k__Bacteria|p__Firmicutes|c__CFGB13380|o__OFGB13380|f__FGB13380	0.27219	0.2381591457967656	0.24888	0.3038	0.12203	0.31321	0.15317	0.35226	0.51979	0.27592
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	0.21891	0.0566278459238814	0.17808	0.14629	0.16046	0.0555	0.1682	0.25437	0.11364	0.02514
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359	0.21322	0.1796079057958144	0.05138	0.10748	0.24148	0.16263	0.15199	0.10757	0.0	0.12518
