genome_ID	OTU	NCBI_ID	novelty_category
MAG0387.0	387	2	known_strain
MAG0388.0	388	2	known_strain
MAG0389.0	389	2	known_strain
MAG0390.0	390	2	known_strain
MAG0391.0	391	2	known_strain
MAG0392.0	392	2	known_strain
MAG0393.0	393	2	known_strain
MAG0394.0	394	2	known_strain
MAG0395.0	395	2	known_strain
MAG0396.0	396	2	known_strain
MAG0397.0	397	2	known_strain
MAG0398.0	398	2	known_strain
MAG0399.0	399	2	known_strain
MAG0400.0	400	2	known_strain
MAG0401.0	401	2	known_strain
MAG0402.0	402	2	known_strain
MAG0403.0	403	2	known_strain
MAG0404.0	404	2	known_strain
MAG0405.0	405	2	known_strain
MAG0406.0	406	2	known_strain
MAG0407.0	407	2	known_strain
MAG0408.0	408	2	known_strain
MAG0409.0	409	2	known_strain
MAG0410.0	410	2	known_strain
MAG0411.0	411	2	known_strain
MAG0412.0	412	2	known_strain
MAG0413.0	413	2	known_strain
MAG0414.0	414	2	known_strain
MAG0415.0	415	2	known_strain
MAG0416.0	416	2	known_strain
MAG0417.0	417	2	known_strain
MAG0418.0	418	2	known_strain
MAG0419.0	419	2	known_strain
MAG0420.0	420	2	known_strain
MAG0421.0	421	2	known_strain
MAG0422.0	422	2	known_strain
MAG0423.0	423	2	known_strain
MAG0424.0	424	2	known_strain
MAG0425.0	425	2	known_strain
MAG0426.0	426	2	known_strain
MAG0427.0	427	2	known_strain
MAG0428.0	428	2	known_strain
MAG0429.0	429	2	known_strain
MAG0430.0	430	2	known_strain
MAG0431.0	431	2	known_strain
MAG0432.0	432	2	known_strain
MAG0433.0	433	2	known_strain
MAG0434.0	434	2	known_strain
MAG0435.0	435	2	known_strain
MAG0436.0	436	2	known_strain
MAG0437.0	437	2	known_strain
MAG0438.0	438	2	known_strain
MAG0439.0	439	2	known_strain
MAG0440.0	440	2	known_strain
MAG0441.0	441	2	known_strain
MAG0442.0	442	2	known_strain
MAG0443.0	443	2	known_strain
MAG0444.0	444	2	known_strain
MAG0445.0	445	2	known_strain
MAG0446.0	446	2	known_strain
MAG0447.0	447	2	known_strain
MAG0448.0	448	2	known_strain
MAG0449.0	449	2	known_strain
MAG0450.0	450	2	known_strain
MAG0451.0	451	2	known_strain
MAG0452.0	452	2	known_strain
MAG0453.0	453	2	known_strain
MAG0454.0	454	2	known_strain
